episode,reward
0,-1.0
100,2.9345
200,0.6155
300,0.9795
400,2.1955
500,1.6075
600,0.0745
700,4.0375
800,0.271
900,2.099
1000,-0.443
1100,1.9465
1200,1.4395
1300,-0.3945
1400,2.6915
1500,-1.783
1600,0.7255
1700,1.2395
1800,1.2
1900,-0.69
2000,-0.7235
2100,0.585
2200,-1.597
2300,0.1335
2400,-0.2335
2500,1.716
2600,0.6565
2700,-0.319
2800,-1.8445
2900,1.043
3000,-0.9325
3100,-2.1735
3200,-1.242
3300,0.6285
3400,1.535
3500,0.2435
3600,0.067
3700,0.575
3800,-0.898
3900,-2.2875
4000,0.516
4100,-0.542
