episode,reward
0,-1.0
100,-0.3225
200,0.427
300,0.304
400,1.2585
500,-0.332
600,0.9365
700,0.868
800,-1.0815
900,0.8375
1000,-0.625
1100,0.209
1200,0.956
1300,2.0245
1400,1.149
1500,-1.9285
1600,1.7465
1700,1.1295
1800,0.7155
1900,-0.5335
2000,0.8435
2100,1.873
2200,-0.621
2300,-1.6115
2400,-0.2505
2500,2.5075
2600,1.8125
2700,-0.216
2800,0.2615
2900,-1.0885
3000,-0.512
3100,0.0415
3200,-0.9125
3300,-0.104
3400,-2.1955
3500,-0.2585
3600,0.861
3700,0.027
3800,1.5825
3900,-0.6635
4000,-0.7035
4100,1.71
4200,-0.939
4300,1.144
4400,0.15
4500,0.052
4600,-1.9705
4700,-0.903
4800,-0.79
4900,-0.123
