episode,reward
0,-1.0
100,-0.1525
200,0.535
300,-1.143
400,-0.469
500,-1.78
600,-2.005
700,1.195
800,-2.2525
900,-1.008
1000,-1.495
1100,-2.125
1200,-0.539
1300,-0.8275
1400,0.172
1500,-1.88
1600,3.4065
1700,-1.392
1800,-0.055
1900,-1.9775
2000,0.429
2100,-0.268
2200,1.933
2300,-0.159
2400,-0.266
2500,1.399
2600,0.329
2700,-0.0905
2800,-1.053
2900,1.3195
3000,-0.2845
3100,-1.528
3200,-1.1485
3300,0.7305
3400,-1.2715
3500,-1.001
3600,2.6525
3700,0.746
3800,2.173
3900,-0.0195
4000,-0.065
4100,0.0615
4200,-3.352
4300,-0.998
4400,-1.7155
4500,-1.535
4600,-2.4085
4700,-2.5555
4800,-1.2275
4900,-1.57
