episode,reward
0,3.5465
100,3.1785
200,4.7615
300,2.962
400,1.617
500,3.813
600,3.909
700,2.265
800,1.2245
900,-0.021
1000,-0.775
1100,-0.91
1200,-1.706
1300,-1.1505
1400,-1.1315
1500,-1.9965
1600,0.328
1700,-0.8365
1800,-1.41
1900,-2.2635
2000,-0.7905
2100,1.597
2200,-1.0405
2300,0.9865
2400,-0.3655
2500,-0.601
2600,-2.5025
2700,-0.467
2800,-2.3085
2900,3.0475
3000,1.3295
3100,3.0835
3200,-0.314
3300,1.2095
3400,-1.02
3500,1.1515
3600,2.4325
3700,0.1705
3800,-0.004
3900,0.199
4000,-0.5355
4100,1.884
4200,-1.959
4300,-1.143
4400,0.6805
4500,3.228
4600,0.91
4700,-0.5085
4800,-0.5905
4900,-1.404
